Guseva Eva Pyotrovna
Simonova Ramina Kirillovna
ZHdanova Vida Gelas'evna
Safonova Harita Anatol'evna
Nikiforova Simona Mironovna
Lebedeva Larisa Filatovna
Vinogradova Gerda YUlianovna
Biryukova YAsmina Danilovna
Samojlova Liya Iosifovna
Pavlova Avrora Arkad'evna
Sergeeva Ul'yana Germannovna
Veselova ZHenev'eva Sergeevna
Evseeva Marina Romanovna
Lytkina Asya Antoninovna
Kudryavceva Aelita Artemovna
Petuhova Tala Makarovna
Tihonova Elena Parfen'evna
Gorbunova Santa Naumovna
Suvorova Dionisiya Iosifovna
Ovchinnikova Fanya Tihonovna
